2026-02-22T14:38:09.768931+00:00 | 127.0.0.1 | /admin/library/category/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:38:09.831934+00:00 | 127.0.0.1 | /admin/library/category/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:38:09.900199+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:38:19.057543+00:00 | 127.0.0.1 | /admin/library/category/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:38:19.121242+00:00 | 127.0.0.1 | /admin/library/category/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:38:19.194581+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:40:57.172953+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:40:57.289111+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:41:08.146843+00:00 | 127.0.0.1 | /admin/library/book/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:41:08.254600+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:41:26.822211+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:41:26.864843+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:44:23.020176+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:44:23.058899+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:44:23.112390+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:45:14.114270+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:45:14.200558+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:45:14.300213+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:46:24.494293+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:46:24.565988+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:46:24.635384+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:48:19.771514+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:48:19.839665+00:00 | 127.0.0.1 | /admin/library/author/add/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:48:19.911507+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:49:17.630834+00:00 | 127.0.0.1 | /admin/library/author/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:49:17.738605+00:00 | 127.0.0.1 | /admin/jsi18n/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:51:25.540808+00:00 | 127.0.0.1 | /admin/library/author/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
2026-02-22T14:51:25.620222+00:00 | 127.0.0.1 | /admin/library/author/ | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
